collection,unit,section,chapter,content_type,activity_type,topic,level,status,qa,word_count,summary,title
tricolore-2-5th-edition,page-120,none,Rappel 4 Unités 6–7,"[review, exercise]",fill-in,mixed,A2,verified,pass,505,"Mixed review of Units 6-7 vocabulary, opposites, and past-tense fill-ins.",Rappel 4 — Unités 6–7
tricolore-2-5th-edition,page-121,none,Rappel 4 Unités 6–7,"[review, exercise]",matching,mixed,A2,verified,pass,572,"Weekend-activity clothing matches, an odd-word-out game, packing pronouns, and imperative excuses.",A2 (inferred)
tricolore-2-5th-edition,page-122,reading,8A À ne pas manquer,"[chapter-opener, reading-text, exercise, comprehension-questions]",reading-comprehension,travel,A2,verified,pass,566,A guided-tour reading about Nimes's Roman sights paired with comprehension questions.,unité 8 On va s'amuser
tricolore-2-5th-edition,page-123,grammar,8A À ne pas manquer,"[exercise, grammar-box, reading-text, listening-sheet, speaking-prompt]",true-false,city-places,A2,verified,pass,682,"Voir verb practice plus true/false reading about Nimes events, adverts, and phrase matching.","(header, top right) 8 On va s'amuser"
tricolore-2-5th-edition,page-124,reading,8B Tu aimes sortir?,"[chapter-opener, picture-story, dialogue, exercise, grammar-box, listening-sheet]",reading-comprehension,hobby,A2,verified,pass,610,"Comic-strip story of Isabelle's busy week going out, with a summary fill-in and the sortir verb table.",8B Tu aimes sortir?
tricolore-2-5th-edition,page-125,grammar,8B Tu aimes sortir?,"[exercise, listening-sheet, speaking-prompt, writing-prompt, reading-text, grammar-box]",listening-comprehension,hobby,A2,verified,pass,531,"Listening quiz on teens' outing habits, discussion questions, and Isabelle's perfect-tense message.","(header, top right) 8 On va s'amuser"
tricolore-2-5th-edition,page-126,listening,8C Rendez-vous,"[chapter-opener, dialogue, listening-sheet, exercise, speaking-prompt, song, phonetics, vocabulary]",listening-comprehension,communication,A2,verified,pass,561,"Exchanging phone numbers and emails, plus accepting or declining invitations and a song.",8C Rendez-vous
tricolore-2-5th-edition,page-127,reading,8C Rendez-vous,"[exercise, reading-text, grammar-box, writing-prompt, dialogue, speaking-prompt, vocabulary]",reading-comprehension,hobby,A2,verified,pass,855,"Sophie and Bruno's messages about their dates, verb fill-ins, and a rendez-vous role-play dialogue.","(header, top right, blue banner) 8 On va s'amuser"
tricolore-2-5th-edition,page-128,vocabulary,8D On parle du sport,"[chapter-opener, dialogue, listening-sheet, exercise, comprehension-questions, vocabulary, phonetics, table, speaking-prompt, writing-prompt]",reading-comprehension,hobby,A2,verified,pass,626,"A football-match report with vocabulary, comprehension questions, and famous-footballer profiles.",8D On parle du sport
tricolore-2-5th-edition,page-129,grammar,8D On parle du sport,"[reading-text, exercise, comprehension-questions, grammar-box, vocabulary, writing-prompt]",reading-comprehension,school,A2,verified,pass,733,"Forum opinions on school sport matched to posters, plus comparative-adjective practice.","(header, top right, blue banner) 8 On va s'amuser"
tricolore-2-5th-edition,page-130,grammar,"8E Hier, aujourd'hui, demain","[chapter-opener, reading-text, exercise, comprehension-questions, listening-sheet, grammar-box, strategy-box, explanation, writing-prompt]",reading-comprehension,vacation,A2,verified,pass,669,"Identifying past, present and future tense in Sophie's message and matching question-answer pairs.","8E Hier, aujourd'hui, demain"
tricolore-2-5th-edition,page-131,speaking,"8E Hier, aujourd'hui, demain","[exercise, speaking-prompt, grammar-box, phonetics, reading-text, writing-prompt]",speaking-task,vacation,A2,verified,pass,607,"Dice-based speaking game about a past outing, liaison phonetics, and a postcard fill-in.","(header, top right, blue banner) 8 On va s'amuser"
tricolore-2-5th-edition,page-132,reading,8F C'est extra!,"[chapter-opener, reading-text, exercise, vocabulary, strategy-box]",reading-comprehension,hobby,A2,verified,pass,757,"A forum about reading habits and famous translated book titles, with vocabulary translation.",8F C'est extra!
tricolore-2-5th-edition,page-133,none,8 On va s'amuser,"[review, wordlist, vocabulary]",vocabulary,none,A2,verified,pass,775,"End-of-unit vocabulary summary for events, sport, contacts, comparisons, and reading.",Sommaire
tricolore-2-5th-edition,page-134,none,Unité 1 Au choix,"[chapter-opener, exercise]",fill-in,shopping,A2,verified,pass,465,Matching foods to shops and completing shopping lists with partitive articles du/de la/des.,unité 1 — Au choix
tricolore-2-5th-edition,page-135,none,Unité 1 Au choix,"[exercise, speaking-prompt]",matching,shopping,A2,verified,pass,665,"Writing shopping lists, a comic strip about an empty fridge, and a market role-play.",A2 (inferred)
tricolore-2-5th-edition,page-136,none,Unité 2 Au choix,"[chapter-opener, exercise]",matching,vacation,A2,verified,pass,615,"Matching people to holiday destinations and countries, transport verbs, and pouvoir practice.",unité 2 — Au choix
tricolore-2-5th-edition,page-137,none,Unité 2 Au choix,"[exercise, speaking-prompt]",writing-task,weather,A2,verified,pass,569,"Weather-based activity suggestions, invented excuses, infinitive identification, and a Loire-towns role-play.",A2 (inferred)
tricolore-2-5th-edition,page-138,none,Unité 3 Au choix,"[chapter-opener, exercise]",fill-in,school,A2,verified,pass,459,"School-facts matching, apprendre/comprendre practice, and Claude's rushed morning-routine story.",unité 3 — Au choix
tricolore-2-5th-edition,page-139,none,Unité 3 Au choix,"[exercise, speaking-prompt, dialogue]",fill-in,mixed,A2,verified,pass,544,"Negating daily-routine sentences, vouloir practice, and conversations using lire, ecrire and dire.",A2 (inferred)
tricolore-2-5th-edition,page-140,none,Unité 4 Au choix,"[chapter-opener, exercise]",fill-in,home,A2,verified,pass,346,"Describing people, household-chore likes/dislikes, and a day's chores in the perfect tense.",unité 4 — Au choix
tricolore-2-5th-edition,page-141,none,4 Au choix,"[exercise, writing-prompt]",fill-in,mixed,A2,verified,pass,504,"Finir/choisir participles, an email-writing task, a school-day recount, and a gapped postcard message.",A2 (inferred)
tricolore-2-5th-edition,page-142,none,5 Au choix,"[chapter-opener, exercise, dialogue]",matching,food,A2,verified,pass,672,"Matching drink habits, a dice speaking game, restaurant orders, and M. Corot's story reordered.",unité 5 Au choix
tricolore-2-5th-edition,page-143,none,5 Au choix,"[exercise, speaking-prompt, listening-sheet]",fill-in,restaurant,A2,verified,pass,578,"Guessing-game speaking practice, a vowel-gap menu, a restaurant listening task, and a canteen logic puzzle.",A2 (inferred)
tricolore-2-5th-edition,page-144,none,6 Au choix,"[chapter-opener, exercise]",ordering,travel,A2,verified,pass,544,"Partir verb practice, travel-knowledge multiple choice, il faut rules, and Luc's store outing ordered.",unité 6 Au choix
tricolore-2-5th-edition,page-145,none,6 Au choix,"[exercise, listening-sheet, writing-prompt]",fill-in,travel,A2,verified,pass,568,"Perfect-tense bus-journey fill-ins, matching an outing story, and a listening about a night out.",A2 (inferred)
tricolore-2-5th-edition,page-146,none,Unité 7 Au choix,[exercise],vocabulary,mixed,A2,verified,pass,302,"Clothing verb fill-ins, identifying a thief from a description, and matching body-part vocabulary.",unité 7 — Au choix
tricolore-2-5th-edition,page-147,none,Unité 7 Au choix,"[exercise, reading-text]",matching,health,A2,verified,pass,444,"Matching aches and pains to people, a giraffe facts reading, and a doctor's-visit dialogue fill-in.",A2 (inferred)
tricolore-2-5th-edition,page-148,none,Unité 8 Au choix,"[exercise, reading-text]",fill-in,mixed,A2,verified,pass,580,"A dog-vision reading, sortir matching, and Isabelle negotiating with her mother about going out.",unité 8 — Au choix
tricolore-2-5th-edition,page-149,none,Unité 8 Au choix,"[exercise, reading-text]",fill-in,mixed,A2,verified,pass,590,"Comparing three students, hippo-versus-crocodile facts, and recounting a sporty day and a past week.",A2 (inferred)
tricolore-2-5th-edition,page-150,none,Au choix extra: Perfect tense practice,"[exercise, grammar-box]",fill-in,mixed,A2,verified,pass,574,"Cafe order matching, M. Corot's story in the perfect tense, negation practice, and present-versus-past identification.",Au choix extra: Perfect tense practice
tricolore-2-5th-edition,page-151,none,Au choix extra: Perfect tense practice,"[exercise, grammar-box]",fill-in,vacation,A2,verified,pass,624,Practice passé composé with être/avoir via matching and fill-ins about trips.,The perfect tense with être and both auxiliary verbs
tricolore-2-5th-edition,page-152,none,Tu comprends?,"[chapter-opener, exercise, listening-sheet, picture-story]",listening-comprehension,mixed,A2,verified,pass,640,"Listening tasks: shop errands, friends' return dates, a vacation day, yesterday morning.","(top banner: dark blue bar spanning the full page width; bold red title text, white-outlin"
tricolore-2-5th-edition,page-153,none,Tu comprends?,"[exercise, listening-sheet, picture-story]",listening-comprehension,mixed,A2,verified,pass,581,"Listening tasks: restaurant orders, a Normandy camping trip, friends, and invitations.",A2 (inferred)
tricolore-2-5th-edition,page-154,none,Vocabulaire par thèmes,"[vocabulary, reference]",vocabulary,none,A2,verified,pass,1038,"Topic vocabulary index by unit, plus school materials and ICT vocabulary lists.",Vocabulaire par thèmes
tricolore-2-5th-edition,page-155,none,Vocabulaire par thèmes,"[vocabulary, reference]",vocabulary,none,A2,verified,pass,1534,"Vocabulary reference: home, family, pets, weather, town places, and sports.","(top banner: plain dark blue bar, no title text on this continuation page; three-column vo"
tricolore-2-5th-edition,page-156,none,Vocabulaire par thèmes,"[vocabulary, reference]",vocabulary,none,A2,verified,pass,1409,"Vocabulary reference: vegetables, fruit, drinks, colours, festivals, time, and numbers.",Vocabulaire par thèmes
tricolore-2-5th-edition,page-157,none,Grammaire: 1 Nouns and articles,"[grammar-box, reference]",instructions,none,A2,verified,pass,975,"Grammar reference: nouns, gender clues, singular/plural, and definite/indefinite articles.","(top-right corner banner: red-white-blue gradient stripe with ""Grammaire"" in bold white te"
tricolore-2-5th-edition,page-158,none,Grammaire,"[grammar-box, reference]",instructions,none,A2,verified,pass,1076,"Grammar reference: demonstrative ce/cette, adjective agreement and order, subject pronouns.","(banner, top-left this time (page 157's banner was top-right): ""Grammaire"" in bold white t"
tricolore-2-5th-edition,page-159,none,Grammaire,"[grammar-box, reference]",instructions,none,A2,verified,pass,1083,"Grammar reference: emphatic and object pronouns, relative qui, and possession.","(banner, top-right (matching page 157, not page 158): ""Grammaire"" in bold white text on a"
tricolore-2-5th-edition,page-160,none,Grammaire,"[grammar-box, reference]",instructions,none,A2,verified,pass,1007,"Grammar reference: prepositions, country/town rules, and negative expressions.","(banner, top-left (matching page 158, not page 159): ""Grammaire"" in bold white text on a r"
tricolore-2-5th-edition,page-161,none,Grammaire,"[grammar-box, explanation]",instructions,none,A2,verified,pass,912,"Grammar reference: question forms, conjunctions, adverbs, and intro to verb tenses.","(banner, top-right: ""Grammaire"" on tricolour flag background)"
tricolore-2-5th-edition,page-162,none,Grammaire,"[grammar-box, explanation, illustration]",instructions,none,A2,verified,pass,987,"Grammar reference: present tense, reflexive verbs, imperative, and perfect tense basics.","(banner, top-left: ""Grammaire"" on tricolour flag background)"
tricolore-2-5th-edition,page-163,none,Grammaire,"[grammar-box, explanation, conjugation-table]",instructions,none,A2,verified,pass,955,"Grammar reference: verb+infinitive, aller+infinitive, avoir/faire idioms, regular verbs.","(banner, top-right: ""Grammaire"" on tricolour flag background)"
tricolore-2-5th-edition,page-164,none,Grammaire,"[grammar-box, conjugation-table]",instructions,none,A2,verified,pass,1319,"Grammar reference: irregular verb conjugation tables, present and perfect tenses.","(banner, top-left: ""Grammaire"" on tricolour flag background)"
tricolore-2-5th-edition,page-165,none,Preparing for tests,"[chapter-opener, strategy-box, instructions]",instructions,none,A2,verified,pass,1074,"Exam strategy guide: listening, reading, speaking, writing, and checking your work.",Preparing for tests
tricolore-2-5th-edition,page-166,none,Glossaire,"[vocabulary, wordlist]",vocabulary,none,mixed,verified,pass,2101,"French-English glossary, section A-C: à plus tard to caisse.",Glossaire
tricolore-2-5th-edition,page-167,none,Glossaire,"[vocabulary, wordlist]",vocabulary,none,mixed,transcribed,fail,35,"French-English glossary continuation, letters C-F; page not legible, transcription gap.",Glossaire
tricolore-2-5th-edition,page-168,none,Glossaire,"[vocabulary, wordlist]",vocabulary,none,mixed,transcribed,fail,1137,"French-English glossary, section D-F: dessus (continued) to extraordinaire.",Glossaire
tricolore-2-5th-edition,page-169,none,Glossaire,"[vocabulary, wordlist]",vocabulary,none,mixed,verified,pass,2061,"French-English glossary, section G-M: grand-mère to menthe (cut off).","(banner, top-right: ""Glossaire"" on tricolour flag background)"
tricolore-2-5th-edition,page-170,none,Glossaire,"[vocabulary, wordlist]",vocabulary,none,mixed,transcribed,fail,52,"French-English glossary continuation, letters M-P; page not legible, transcription gap.",Glossaire
tricolore-2-5th-edition,page-171,none,Glossaire,"[vocabulary, wordlist]",vocabulary,none,mixed,transcribed,fail,36,"French-English glossary continuation, letters P-S; page not legible, transcription gap.",Glossaire
tricolore-2-5th-edition,page-172,none,Glossaire: Français-anglais,[wordlist],vocabulary,none,A2,verified,pass,1984,"French-English glossary, section S-Z: souvenir to zut; glossary ends.","(banner, top-left: ""Glossaire"" in white italic script on a tricolour (blue-white-red) ribb"
tricolore-2-5th-edition,page-173,none,Glossaire,"[vocabulary, wordlist]",vocabulary,none,mixed,transcribed,fail,333,"English-French glossary begins, section A only: a to awful.","(banner, top-right: ""Glossaire"" on tricolour flag background; large title ""Anglais–françai"
tricolore-2-5th-edition,page-174,none,Glossaire,"[vocabulary, wordlist]",vocabulary,none,mixed,verified,pass,1799,"English-French glossary, section C-H: compartment (continued) to holidays.","(banner, top-left: ""Glossaire"" in white on tricolour flag background)"
tricolore-2-5th-edition,page-175,none,Glossaire,"[vocabulary, wordlist]",vocabulary,none,mixed,transcribed,fail,37,"English-French glossary continuation, letters I-O; page not legible, transcription gap.",Anglais – français
tricolore-2-5th-edition,page-176,none,Glossaire,"[vocabulary, wordlist]",vocabulary,none,mixed,transcribed,fail,42,"English-French glossary continuation, letters P-R; page not legible, transcription gap.",Anglais – français
tricolore-2-5th-edition,page-177,none,Glossaire,"[vocabulary, wordlist]",vocabulary,none,mixed,transcribed,fail,270,"English-French glossary, final page, letters S-Z; word list only, translations not legible.",Anglais – français
tricolore-2-5th-edition,page-178,none,,[reading-text],none,none,mixed,verified,pass,405,Acknowledgements page; mostly illegible due to a source-image raster defect.,Acknowledgements
tricolore-2-5th-edition,page-179,none,,[],none,none,mixed,verified,pass,37,"Defective source image: top third white, bottom two-thirds solid black, no content.",
tricolore-2-5th-edition,page-180,none,,[cover],cover,none,mixed,verified,pass,279,"Back cover describing Tricolore 2 5e édition components, ISBNs, and publisher contacts.",Tricolore
